00.00,0.02,65535,10.00,1.00,0.01,0.00
-56.03,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.08,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.80,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.03,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.03,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.08,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.13,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.94,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10,1.00,0.01,0.00
-55.31,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.17,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.36,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.32,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.13,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.36,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.36,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.65,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.67,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.85,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.65,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.08,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.03,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.56,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.36,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.32,-15.00,-100.00,0.02,59415,10.00,1.00,0.01,0.00
-56.17,-15.00,-100.00,0.02,51736,10.00,1.00,0.01,0.00
-56.22,-15.00,-100.00,0.02,48633,10.00,1.00,0.01,0.00
-56.27,-15.00,-100.00,0.02,47466,10.00,1.00,0.01,0.00
-56.51,-15.00,-100.00,0.02,46799,10.00,1.00,0.01,0.00
-56.22,-15.00,-100.00,0.02,47518,10.00,1.00,0.01,0.00
-55.76,-15.00,-100.00,0.02,49202,10.00,1.00,0.01,0.00
-56.32,-15.00,-100.00,0.02,51515,10.00,1.00,0.01,0.00
-56.17,-15.00,-100.00,0.02,53869,10.00,1.00,0.01,0.00
-55.80,-15.00,-100.00,0.02,56135,10.00,1.00,0.01,0.00
-56.03,-15.00,-100.00,0.02,59747,10.00,1.00,0.01,0.00
-55.89,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.76,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.27,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.27,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.13,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.94,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.32,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.94,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.13,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-55.99,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.22,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
-56.32,-15.00,-100.00,0.02,65535,10.00,1.00,0.01,0.00
